Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 16:57:04,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024 16:58:21,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Average
10/24/2024 16:58:40,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Never,Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024 16:59:52,Second year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024 17:00:21,Second year,Male,Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Good
10/24/2024 17:00:26,Graduate student,Male,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 17:00:50,First year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Average,Rarely,Never,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good
10/24/2024 17:01:57,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 17:02:23,Second year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024 17:03:24,Third year,Male,Every night,More than 8 hours,Every night,Good,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024 17:03:46,First year,Male,Every night,7-8 hours,Rarely (1-2 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Excellent
10/24/2024 17:04:15,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024 17:04:15,Graduate student,Male,Rarely (1-2 times a week),4-5 hours,Rarely (1-2 times a week),Average,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Average
10/24/2024 17:06:35,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Good
10/24/2024 17:07:01,First year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Never,Sometimes,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Good
10/24/2024 17:07:29,Second year,Male,Rarely (1-2 times a week),6-7 hours,Rarely (1-2 times a week),Poor,Often,Often,Sometimes (1-2 times a week),No impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Excellent
10/24/2024 17:08:29,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Every day,Often (5-6 times a week),High stress,Average
10/24/2024 17:08:59,Second year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 17:10:05,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024 17:12:15,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Rarely,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Good
10/24/2024 17:12:40,Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024 17:14:18,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024 17:15:03,Third year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024 17:15:43,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Good
10/24/2024 17:16:11,Second year,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Poor,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024 17:16:38,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Good
10/24/2024 17:17:19,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 17:17:51,Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 17:18:37,Second year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
10/24/2024 17:20:16,Third year,Male,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Average
10/24/2024 17:20:38,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Rarely (1-2 times a month),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Average
10/24/2024 17:21:01,Third year,Male,Every night,More than 8 hours,Every night,Average,Often,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Average
10/24/2024 17:21:24,Third year,Female,Often (5-6 times a week),4-5 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Average
10/24/2024 17:27:58,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average
10/24/2024 17:29:00,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor
10/24/2024 17:30:27,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Rarely,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 17:31:18,Third year,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024 17:31:43,Third year,Male,Every night,More than 8 hours,Every night,Poor,Sometimes,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024 17:32:11,Second year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average
10/24/2024 17:32:36,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Rarely,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
10/24/2024 17:36:59,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024 17:37:27,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024 17:38:22,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/24/2024 17:42:05,Third year,Female,Sometimes (3-4 times a week),Less than 4 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/24/2024 17:44:40,Second year,Female,Every night,More than 8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024 17:45:17,Third year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor
10/24/2024 17:45:42,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/24/2024 17:50:09,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/24/2024 17:50:35,Third year,Female,Every night,More than 8 hours,Every night,Average,Often,Often,Always,Major impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024 17:50:59,Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Often,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024 17:53:05,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 17:53:28,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 17:53:55,Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Moderate impact,Every night,Every day,Every day,High stress,Poor
10/24/2024 17:57:22,Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 17:57:48,Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024 18:02:23,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Poor
10/24/2024 18:02:48,Second year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Poor
10/24/2024 18:03:13,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Sometimes,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024 18:03:45,Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:04:13,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:05:24,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Always,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024 18:06:00,Graduate student,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:11:45,Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor
10/24/2024 18:12:27,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:12:45,Third year,Male,Never,4-5 hours,Sometimes (3-4 times a week),Good,Often,Sometimes,Rarely (1-2 times a month),Major impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:13:32,Third year,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 18:17:08,Graduate student,Male,Every night,7-8 hours,Rarely (1-2 times a week),Very good,Sometimes,Often,Often (3-4 times a week),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:17:57,Second year,Male,Often (5-6 times a week),More than 8 hours,Every night,Average,Rarely,Sometimes,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor
10/24/2024 18:18:17,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 18:18:41,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average
10/24/2024 18:19:06,Graduate student,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Always,Often,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024 18:19:23,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024 18:19:58,First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Never,Severe impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average
10/24/2024 18:20:21,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024 18:20:41,Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Often,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),No stress,Poor
10/24/2024 18:21:05,Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024 18:21:30,First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:22:03,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Sometimes,Always,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Never,High stress,Below Average
10/24/2024 18:22:22,First year,Female,Every night,More than 8 hours,Every night,Poor,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),No stress,Poor
10/24/2024 18:22:26,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Poor
10/24/2024 18:22:51,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 18:23:09,Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average
10/24/2024 18:23:51,Third year,Female,Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Sometimes,Often,Always,Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024 18:24:47,Graduate student,Female,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor
10/24/2024 18:25:43,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 18:26:17,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024 18:26:44,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),No stress,Poor
10/24/2024 18:27:03,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Average,Never,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Average
10/24/2024 18:27:21,Graduate student,Male,Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
10/24/2024 18:27:39,First year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Never,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/24/2024 18:27:57,Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average
10/24/2024 18:28:30,Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024 18:28:49,Graduate student,Male,Rarely (1-2 times a week),7-8 hours,Every night,Very good,Sometimes,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor
10/24/2024 18:29:15,Graduate student,Female,Rarely (1-2 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 18:29:45,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor
10/24/2024 18:30:09,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor
10/24/2024 18:30:32,Third year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Very good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average
10/24/2024 18:30:53,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024 18:31:12,Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Poor,Rarely,Sometimes,Often (3-4 times a week),Moderate impact,Every night,Rarely (1-2 times a week),Rarely (1-2 times a week),Extremely high stress,Poor
